ID,Beszállító,Termék neve,Lot szám,Gyártás ideje,Lejárat,Mennyiség,Megjegyzés
1,Nutrifocus,Collagen complex málna 300g,NF3239,2026-09-01,2028-08-27,172,
2,Nutrifocus,Collagen complex 60x,NF3248,2026-09-02,2028-08-31,1,
3,Nutrifocus,Collagen complex alma 300g,NF3233,2026-09-02,2028-08-27,9,
4,Nutrifocus,Collagen complex körte 300g,NF3237,2026-09-02,2028-08-27,10,
6,Nutrifocus,Collagen complex mangó 300g,NF3240,2026-09-02,2028-08-27,25,
7,Nutrifocus,Collagen complex pinacolada 300g,NF3241,2026-09-02,2028-08-27,10,
8,Nutrifocus,Collagen complex STEVIA ananász 300g,NF3242,2026-09-02,2028-08-27,10,
9,Nutrifocus,Collagen complex STEVIA málna 300g,NF3243,2026-09-02,2028-08-27,9,
10,Nutrifocus,Collagen complex szőlő 300g,NF3244,2026-09-02,2028-08-27,10,
14,Nutrifocus,Collagen complex ananász 300g,NF3234,2026-08-28,2028-08-27,3,
15,Nutrifocus,Collagen complex görögdinnye 300g,NF3235,2026-09-02,2028-08-27,9,
16,Nutrifocus,Collagen complex ízesítetlen 300g,NF3236,2026-09-02,2028-0827,9,
17,Nutrifocus,Collagen complex Beauty málna 300g,NF3108,2026-09-02,2028-08-24,10,
18,Baby-med,Terhesvitamin 3. Trimeszter jód nélkül 60x,BM3228,2026-09-02,2029-08-31,548,
20,Nutrifocus,Hyaluron 60x,NF3249,2026-09-02,2028-08-31,16,
22,Nutrifocus,Magnézium-biszglicinát 90x,NF3247,2026-09-02,2028-08-31,3,
24,Hyggemin,C-vitamin komplex 60x,HG2983,2026-09-03,2028-07-31,311,
26,Hyggemin,Magnézium-biszglicinát + B6 90x,HG2982,2026-09-03,2028-07-31,542,
27,Nutrifocus,Shaper 60x,NF3250,2026-09-03,2028-08-31,6,
28,Bubble Tea,Sour 2 liter,BT3123,2026-09-03,2027-09-30,38,
30,Odeen,Fruit storm 20x,OE3036,2026-09-03,2028-08-31,203,
31,Odeen,Tropic raid 20x,OE3038,2026-09-03,2028-08-31,97,
32,Odeen,Dark fjord 20x,OE3035,2026-09-03,2028-08-31,85,
33,Odeen,Nordic frost 20x,OE3037,2026-09-03,2028-08-31,156,
34,Baby-med,Sleepnorm 30x,BM3122,2026-09-03,2029-08-31,661,
35,Odeen,Loki lemon 20x,OE3028,2026-09-03,2028-08-31,205,
38,Bubble Tea,Refresher 2 liter,BT3119,2026-09-04,2027-09-30,524,
43,Vegnum,Nutri Fruits alma ízű almaecettel 30x,24121602,2026-09-04,2027-06-15,100,
57,Vegnum,Nutri Fruits feketeribizli vassal 30x,25121806,2026-09-07,2027-06-17,200,
60,Nutrifocus,Collagen complex limonádé 300g,NF3276,2026-09-07,2028-09-04,6,
62,Nutrifocus,Collagen complex alma 300g,NF3277,2026-09-07,2028-09-04,6,
64,Nutrifocus,Collagen complex Beauty mangó 300g,NF3232,2026-09-07,2028-09-03,9,
65,Nutrifocus,Collagen complex Beauty limonádé 300g,NF3230,2026-09-07,2028-09-03,10,
66,Nutrifocus,Collagen complex Beauty ananász 300g,NF3229,2026-09-07,2028-09-03,10,
67,Nutrifocus,Collagen complex Beauty málna 300g,NF3231,2026-09-08,2028-09-03,8,
71,Mimo,Kollagén+C-vitamin 90x,NO2786,2026-05-26,2028-05-31,89,
72,MIMO,Kurkuma 90x,NO2046,2025-11-13,2027-11-30,34,
74,Nutrifocus,Collagen complex ananász 300g,NF3278,2026-09-08,2028-09-04,9,
75,Nutrifocus,Collagen complex ízesítetlen 300g,NF3284,2026-09-08,2028-09-04,1,
79,Nutrifocus,Collagen complex STEVIA körte 300g,NF3291,2026-09-08,2028-09-04,5,
82,Nutrifocus,Collagen complex pinacolada 300g,NF3280,2026-09-08,2028-09-04,5,
83,Nutrifocus,Joint+ 150x,NF3295,2026-09-08,2028-09-30,8,
84,Nutrifocus,Collagen complex STEVIA málna 300g,NF3289,2026-09-09,2028-09-04,9,
86,Nutrifocus,Collagen complex STEVIA alma 300g,NF3292,2026-09-09,2028-09-04,3,
87,Nutrifocus,Collagen complex görögdinnye 300g,NF3283,2026-09-09,2028-09-04,9,
88,Nutrifocus,Collagen complex Beauty limonádé 300g,NF3287,2026-09-09,2028-09-04,7,
89,Nutrifocus,Collagen + joint 60x,NF3298,2026-09-09,2028-09-30,11,
90,Nutrifocus,Collagen complex 60x,NF3297,2026-09-09,2028-09-30,11,
97,Nutrifocus,Collagen complex Beauty mangó 300g,NF3286,2026-09-09,2028-09-04,3,
98,Nutrifocus,Collagen complex Beauty ananász 300g,NF3288,2026-09-09,2028-09-04,5,
99,Nutrifocus,Collagen complex Beauty málna 300g,NF3285,2026-09-09,2028-09-04,11,
100,Nutrifocus,Collagen complex STEVIA mangó 300g,NF3290,2026-09-09,2028-09-09,11,
101,Nutrifocus,Magnézium-biszglicinát + B6 90x,NF3299,2026-09-09,2028-09-30,20,
110,Nutrifocus,Collagen complex málna 300g,NF3279,2026-09-10,2028-09-04,18,
112,Genymedic,Rivera 60x,PB2135/3,2026-09-10,2027-12-31,300,
113,Genymedic,No1 60x,PB1661/6,2026-09-10,2027-07-31,300,
114,Genymedic,T-cardio 60x,PB2004/2,2026-09-11,2027-11-30,200,
115,Organica,Elements tabletta 180x,ON2951,2026-09-11,2028-07-31,112,32 db termék címke nélkül
125,Herba-D,Galagonya + fekete fokhagyma 30x,DI3309,2026-09-14,2028-09-30,1001,
127,X-zone,Eromax plus 10x,XZ2374/3,2026-09-14,2028-02-28,300,
128,Baby-med,Anyatej+ 30x,BM3301,2026-09-14,2029-09-30,320,
129,Natura vital help,Vitazema 30x,NVH3306,2026-09-14,2028-09-30,501,
130,Naturize,Fahéjas - fekete csoki 80% rizsfehérje 816g,NR3310,2026-09-15,2028-09-30,199,
131,Baby-med,Trimeszter men 150x,BM3257,2026-09-15,2029-09-30,1094,
132,Natura vital help,Artemol 30x,NVH3304,2026-09-15,2028-09-30,1101,
